design,platform,critical_path_ns,core_util,place_density,clock_period,die_area,total_power_mw,result_path,tag
mult16s_booth4_brentkung_wrapper,asap7,0.9799915,50.0,0.68,1.0,304.991296,0.267," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_booth4_koggestone_wrapper,asap7,0.650959,60.0,0.68,1.0,285.136996,0.298," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_ripple_wrapper,asap7,1.1158534999999998,60.0,0.68,1.0,257.6025,0.257," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_sklansky_wrapper,asap7,0.6531371,50.0,0.68,1.0,322.058916,0.265," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_normal_brentkung_wrapper,asap7,1.0064623,60.0,0.68,1.0,238.826116,0.256," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_koggestone_wrapper,asap7,0.6450933999999999,50.0,0.68,1.0,313.325401,0.28," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_normal_ripple_wrapper,asap7,1.1338507,50.0,0.68,1.0,292.888996,0.252," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_normal_sklansky_wrapper,asap7,0.6521264,50.0,0.68,1.0,293.951025,0.257," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_booth4_brentkung_wrapper,asap7,1.1045796,50.0,0.68,1.0,320.266816,0.283," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_booth4_koggestone_wrapper,asap7,0.6604169000000001,50.0,0.68,1.0,343.212676,0.288," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
