design,platform,total_power_mw,core_util,place_density,clock_period,die_area,critical_path_ns,result_path,tag
mult16s_booth4_brentkung_wrapper,asap7,0.258,60.0,0.68,1.0,259.725456,0.9891209,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_koggestone_wrapper,asap7,0.289,50.0,0.68,1.0,335.146249,0.6558746999999999,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_booth4_ripple_wrapper,asap7,0.254,50.0,0.68,1.0,302.446881,1.11642,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_booth4_sklansky_wrapper,asap7,0.258,60.0,0.68,1.0,274.134249,0.6595488,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_brentkung_wrapper,asap7,0.226,50.0,0.68,1.0,280.160644,1.0118069,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_normal_koggestone_wrapper,asap7,0.274,60.0,0.68,1.0,266.766889,0.6474225,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_ripple_wrapper,asap7,0.216,60.0,0.68,1.0,249.545209,1.1383044,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_sklansky_wrapper,asap7,0.253,60.0,0.68,1.0,250.430625,0.6573555,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_brentkung_wrapper,asap7,0.248,60.0,0.68,1.0,272.613121,1.109641,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_koggestone_wrapper,asap7,0.287,10.0,0.55,1.0,1517.492025,0.6690048000000001,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult16u_booth4_ripple_wrapper,asap7,0.252,60.0,0.68,1.0,249.355681,1.2390787,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_sklansky_wrapper,asap7,0.265,50.0,0.68,1.0,335.842276,0.6436189000000001,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_normal_brentkung_wrapper,asap7,0.24,50.0,0.68,1.0,280.328049,1.0217383,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_normal_koggestone_wrapper,asap7,0.25,50.0,0.68,1.0,305.585361,0.6720553,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_normal_ripple_wrapper,asap7,0.228,60.0,0.68,1.0,239.0116,1.1542661,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_normal_sklansky_wrapper,asap7,0.254,50.0,0.68,1.0,292.683664,0.6716937000000001,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_brentkung_wrapper,asap7,0.752,50.0,0.68,1.0,965.842084,1.7047867,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_koggestone_wrapper,asap7,0.835,50.0,0.68,1.0,1031.501689,0.8729383000000001,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_ripple_wrapper,asap7,0.682,50.0,0.68,1.0,976.062564,2.1659821999999997,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_sklansky_wrapper,asap7,0.742,60.0,0.68,1.0,839.8404,0.8880742,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_brentkung_wrapper,asap7,0.7,60.0,0.68,1.0,767.179204,1.7484149,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_koggestone_wrapper,asap7,0.802,60.0,0.68,1.0,818.760996,0.8810175,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_ripple_wrapper,asap7,0.656,50.0,0.68,1.0,905.769216,2.2039436,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_normal_sklansky_wrapper,asap7,0.748,60.0,0.68,1.0,790.284544,0.8811454,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_brentkung_wrapper,asap7,0.788,60.0,0.68,1.0,836.308561,1.8194466999999999,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_koggestone_wrapper,asap7,0.811,50.0,0.68,1.0,1064.651641,0.9140737,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_booth4_ripple_wrapper,asap7,0.677,60.0,0.68,1.0,740.275264,2.2707979,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_sklansky_wrapper,asap7,0.779,50.0,0.68,1.0,1022.592484,0.9050511,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_normal_brentkung_wrapper,asap7,0.705,60.0,0.68,1.0,766.680721,1.7588419,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_normal_koggestone_wrapper,asap7,0.786,50.0,0.68,1.0,969.948736,0.9026431,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_normal_ripple_wrapper,asap7,0.681,60.0,0.68,1.0,757.790784,2.2102646,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
