design,width,signed,ppg,cpa,status,critical_path_ns,die_area,total_power_mw,result_path
mult4u_booth4_brentkung_wrapper,4,False,booth4,brentkung,ok,0.1732,2091.690225,0.000137,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_brentkung_wrapper/work/231d5c19/result.json
mult4u_booth4_koggestone_wrapper,4,False,booth4,koggestone,ok,0.1719,2219.3521,0.000146,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_koggestone_wrapper/work/231d5c19/result.json
mult4u_booth4_ripple_wrapper,4,False,booth4,ripple,ok,0.1728,2007.9361,0.000131,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_ripple_wrapper/work/231d5c19/result.json
mult4u_booth4_sklansky_wrapper,4,False,booth4,sklansky,ok,0.1704,2205.2416,0.000147,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_sklansky_wrapper/work/231d5c19/result.json
mult4u_normal_brentkung_wrapper,4,False,normal,brentkung,ok,0.1719,1580.8576,9.33e-05,/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_brentkung_wrapper/work/231d5c19/result.json
mult4u_normal_koggestone_wrapper,4,False,normal,koggestone,ok,0.1721,1762.740225,0.000101,/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_koggestone_wrapper/work/231d5c19/result.json
mult4u_normal_ripple_wrapper,4,False,normal,ripple,ok,0.1727,1527.637225,9e-05,/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_ripple_wrapper/work/231d5c19/result.json
mult4u_normal_sklansky_wrapper,4,False,normal,sklansky,ok,0.1717,1670.3569,9.55e-05,/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_sklansky_wrapper/work/231d5c19/result.json
mult4s_booth4_brentkung_wrapper,4,True,booth4,brentkung,ok,0.1718,2027.250625,0.000123,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_brentkung_wrapper/work/231d5c19/result.json
mult4s_booth4_koggestone_wrapper,4,True,booth4,koggestone,ok,0.1718,2169.230625,0.000133,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_koggestone_wrapper/work/231d5c19/result.json
mult4s_booth4_ripple_wrapper,4,True,booth4,ripple,ok,0.1722,1943.9281,0.000119,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_ripple_wrapper/work/231d5c19/result.json
mult4s_booth4_sklansky_wrapper,4,True,booth4,sklansky,ok,0.1721,2074.8025,0.000132,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_sklansky_wrapper/work/231d5c19/result.json
mult4s_normal_brentkung_wrapper,4,True,normal,brentkung,ok,0.1719,1634.180625,0.000108,/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_brentkung_wrapper/work/231d5c19/result.json
mult4s_normal_koggestone_wrapper,4,True,normal,koggestone,ok,0.1719,1773.673225,0.000115,/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_koggestone_wrapper/work/231d5c19/result.json
