design,platform,core_util,place_density,clock_period,die_area,critical_path_ns,total_power_mw,result_path,tag
yosys_mult16s_booth_wrapper,asap7,60.0,0.68,1.0,278.289124,0.7958092,0.272,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16s_booth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult16s_lowpowerbooth_wrapper,asap7,60.0,0.68,1.0,269.649241,1.4935691999999998,0.231,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16s_lowpowerbooth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult16u_booth_wrapper,asap7,60.0,0.68,1.0,257.891481,0.7063419,0.248,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16u_booth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult32s_booth_wrapper,asap7,60.0,0.68,1.0,896.283844,1.0182537,0.791,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32s_booth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult32s_lowpowerbooth_wrapper,asap7,60.0,0.68,1.0,863.301924,2.9815061000000003,0.681,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32s_lowpowerbooth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult32u_booth_wrapper,asap7,60.0,0.68,1.0,831.687921,0.9033472,0.742,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32u_booth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult4s_booth_wrapper,asap7,60.0,0.68,1.0,39.225169,0.37415940000000003,0.0428,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4s_booth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult4s_lowpowerbooth_wrapper,asap7,60.0,0.68,1.0,41.951529,0.37859719999999997,0.0453,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4s_lowpowerbooth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult4u_booth_wrapper,asap7,60.0,0.68,1.0,35.868121,0.293598,0.0424,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4u_booth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult8s_booth_wrapper,asap7,60.0,0.68,1.0,101.062809,0.5370615,0.125,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8s_booth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult8s_lowpowerbooth_wrapper,asap7,60.0,0.68,1.0,97.653924,0.7540592,0.101,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8s_lowpowerbooth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult8u_booth_wrapper,asap7,60.0,0.68,1.0,91.412721,0.47509460000000003,0.112,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8u_booth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult16s_booth_wrapper,nangate45,60.0,0.68,2.5,3798.2569,0.1995,0.00547,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16s_booth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
yosys_mult16s_lowpowerbooth_wrapper,nangate45,60.0,0.68,2.5,3190.555225,3.225,0.00917,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16s_lowpowerbooth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
yosys_mult16u_booth_wrapper,nangate45,60.0,0.68,2.5,3379.0969,0.1955,0.00353,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16u_booth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
yosys_mult32s_booth_wrapper,nangate45,60.0,0.68,2.5,13070.205625,0.2397,0.0525,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32s_booth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
yosys_mult32s_lowpowerbooth_wrapper,nangate45,60.0,0.68,2.5,10370.367225,6.4756,0.249,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32s_lowpowerbooth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
yosys_mult32u_booth_wrapper,nangate45,60.0,0.68,2.5,12064.8256,0.2426,0.0311,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32u_booth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
yosys_mult4s_booth_wrapper,nangate45,50.0,0.68,2.5,405.2169,0.1677,0.000118,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4s_booth_wrapper/work/c6c6255b/result.json,yosys_mult_w4_32_nangate45_highutil_87b48795
yosys_mult4s_lowpowerbooth_wrapper,nangate45,60.0,0.68,2.5,359.1025,0.1675,0.000111,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4s_lowpowerbooth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
yosys_mult4u_booth_wrapper,nangate45,50.0,0.68,2.5,356.643225,0.1677,8.94e-05,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4u_booth_wrapper/work/c6c6255b/result.json,yosys_mult_w4_32_nangate45_highutil_87b48795
yosys_mult8s_booth_wrapper,nangate45,60.0,0.68,2.5,1156.6801,0.1789,0.000667,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8s_booth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
yosys_mult8s_lowpowerbooth_wrapper,nangate45,60.0,0.68,2.5,989.417025,0.1766,0.000499,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8s_lowpowerbooth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
