design,platform,critical_path_ns,core_util,place_density,clock_period,die_area,total_power_mw,result_path,tag
yosys_mult16s_booth_wrapper,asap7,0.7904500000000001,10.0,0.55,1.0,1441.189369,0.283,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16s_booth_wrapper/work/ca39127d/result.json,yosys_mult_w4_32_asap7_3b70c61f
yosys_mult16s_lowpowerbooth_wrapper,asap7,1.4931477,50.0,0.68,1.0,316.768804,0.262,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16s_lowpowerbooth_wrapper/work/152d8512/result.json,yosys_mult_w4_32_asap7_highutil_75828b8c
yosys_mult16u_booth_wrapper,asap7,0.6989213,10.0,0.55,1.0,1327.654969,0.274,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16u_booth_wrapper/work/ca39127d/result.json,yosys_mult_w4_32_asap7_3b70c61f
yosys_mult32s_booth_wrapper,asap7,1.000213,50.0,0.68,1.0,1063.020816,0.764,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32s_booth_wrapper/work/152d8512/result.json,yosys_mult_w4_32_asap7_highutil_75828b8c
yosys_mult32s_lowpowerbooth_wrapper,asap7,2.9815061000000003,60.0,0.68,1.0,863.301924,0.681,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32s_lowpowerbooth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult32u_booth_wrapper,asap7,0.9033472,60.0,0.68,1.0,831.687921,0.742,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32u_booth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult4s_booth_wrapper,asap7,0.3709414,10.0,0.55,1.0,154.828249,0.0404,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4s_booth_wrapper/work/ca39127d/result.json,yosys_mult_w4_32_asap7_3b70c61f
yosys_mult4s_lowpowerbooth_wrapper,asap7,0.3740215,50.0,0.68,1.0,47.665216,0.0455,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4s_lowpowerbooth_wrapper/work/152d8512/result.json,yosys_mult_w4_32_asap7_highutil_75828b8c
yosys_mult4u_booth_wrapper,asap7,0.2883163,10.0,0.55,1.0,138.579984,0.0392,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4u_booth_wrapper/work/ca39127d/result.json,yosys_mult_w4_32_asap7_3b70c61f
yosys_mult8s_booth_wrapper,asap7,0.5363024000000001,10.0,0.55,1.0,472.019076,0.107,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8s_booth_wrapper/work/ca39127d/result.json,yosys_mult_w4_32_asap7_3b70c61f
