family,width,signed,status,critical_path_ns,die_area,total_power_mw,result_path
brentkung,4,unsigned,ok,1.3652,3757.077025,0.000184,runs/designs/prefix_adders/adder_brentkung_4u_wrapper/work/85a3ec1f/result.json
brentkung,8,unsigned,ok,1.381,7486.575625,0.000368,runs/designs/prefix_adders/adder_brentkung_8u_wrapper/work/85a3ec1f/result.json
brentkung,16,unsigned,ok,5.2699,14974.4169,0.000839,runs/designs/prefix_adders/adder_brentkung_16u_wrapper/work/85a3ec1f/result.json
brentkung,32,unsigned,ok,7.6176,29739.0025,0.0017,runs/designs/prefix_adders/adder_brentkung_32u_wrapper/work/85a3ec1f/result.json
brentkung,64,unsigned,ok,13.7661,58871.743225,0.00345,runs/designs/prefix_adders/adder_brentkung_64u_wrapper/work/85a3ec1f/result.json
koggestone,4,unsigned,ok,1.3425,4222.4004,0.000215,runs/designs/prefix_adders/adder_koggestone_4u_wrapper/work/85a3ec1f/result.json
koggestone,8,unsigned,ok,1.3902,8510.0625,0.000387,runs/designs/prefix_adders/adder_koggestone_8u_wrapper/work/85a3ec1f/result.json
koggestone,16,unsigned,ok,1.4373,18152.1729,0.000911,runs/designs/prefix_adders/adder_koggestone_16u_wrapper/work/85a3ec1f/result.json
koggestone,32,unsigned,ok,1.5382,36544.057225,0.00184,runs/designs/prefix_adders/adder_koggestone_32u_wrapper/work/85a3ec1f/result.json
koggestone,64,unsigned,ok,1.7551,78857.064225,0.00384,runs/designs/prefix_adders/adder_koggestone_64u_wrapper/work/85a3ec1f/result.json
ripple,4,unsigned,ok,1.3652,3757.077025,0.000184,runs/designs/prefix_adders/adder_ripple_4u_wrapper/work/85a3ec1f/result.json
ripple,8,unsigned,ok,4.0184,8769.386025,0.000274,runs/designs/prefix_adders/adder_ripple_8u_wrapper/work/15e27f46/result.json
ripple,16,unsigned,ok,6.2167,13587.399225,0.000804,runs/designs/prefix_adders/adder_ripple_16u_wrapper/work/85a3ec1f/result.json
ripple,32,unsigned,ok,11.8305,26585.3025,0.00169,runs/designs/prefix_adders/adder_ripple_32u_wrapper/work/85a3ec1f/result.json
ripple,64,unsigned,ok,23.3372,65472.015625,0.00247,runs/designs/prefix_adders/adder_ripple_64u_wrapper/work/15e27f46/result.json
sklansky,4,unsigned,ok,1.3372,4970.25,0.000159,runs/designs/prefix_adders/adder_sklansky_4u_wrapper/work/15e27f46/result.json
sklansky,4,unsigned,ok,1.3342,4002.460225,0.000212,runs/designs/prefix_adders/adder_sklansky_4u_wrapper/work/85a3ec1f/result.json
sklansky,8,unsigned,ok,1.3944,10429.515625,0.000287,runs/designs/prefix_adders/adder_sklansky_8u_wrapper/work/15e27f46/result.json
sklansky,8,unsigned,ok,1.386,8382.318025,0.000383,runs/designs/prefix_adders/adder_sklansky_8u_wrapper/work/85a3ec1f/result.json
sklansky,16,unsigned,ok,1.4626,20795.082025,0.000676,runs/designs/prefix_adders/adder_sklansky_16u_wrapper/work/15e27f46/result.json
sklansky,16,unsigned,ok,1.456,16690.0561,0.000924,runs/designs/prefix_adders/adder_sklansky_16u_wrapper/work/85a3ec1f/result.json
sklansky,32,unsigned,ok,1.5978,41963.5225,0.00134,runs/designs/prefix_adders/adder_sklansky_32u_wrapper/work/15e27f46/result.json
sklansky,32,unsigned,ok,1.6008,33648.399225,0.00181,runs/designs/prefix_adders/adder_sklansky_32u_wrapper/work/85a3ec1f/result.json
sklansky,64,unsigned,ok,1.8164,85085.973025,0.00274,runs/designs/prefix_adders/adder_sklansky_64u_wrapper/work/15e27f46/result.json
sklansky,64,unsigned,ok,1.7523,68178.4321,0.00362,runs/designs/prefix_adders/adder_sklansky_64u_wrapper/work/85a3ec1f/result.json
