circuit_type,design,platform,status,critical_path_ns,die_area,total_power_mw,config_hash,param_hash,tag,result_path,params_json,metrics_path,design_path
multipliers,mult16s_booth4_brentkung_wrapper,asap7,ok,0.9891209,259.725456,0.258,aae620d34e3e,a3bdd812,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper
multipliers,mult16s_booth4_brentkung_wrapper,asap7,ok,0.9829071,1337.950084,0.293,aae620d34e3e,b727aa3a,mult_ppg_cpa_w4_32_asap7_3b70c61f," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper
multipliers,mult16s_booth4_brentkung_wrapper,asap7,ok,0.9799915,304.991296,0.267,aae620d34e3e,c7de4936,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper
multipliers,mult16s_booth4_brentkung_wrapper,nangate45,ok,0.2141,17650.451025,0.00216,aae620d34e3e,231d5c19,mult_ppg_cpa_w4_32_nangate45_40523b9d," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper
multipliers,mult16s_booth4_brentkung_wrapper,nangate45,ok,2.2724,3662.6704,0.0021,aae620d34e3e,39ca4667,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper
multipliers,mult16s_booth4_brentkung_wrapper,nangate45,ok,0.1963,3071.3764,0.00211,aae620d34e3e,84032167,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper
multipliers,mult16s_booth4_brentkung_wrapper,sky130hd,ok,9.2077,21403.69,0.00499,aae620d34e3e,4c404a8c,mult_ppg_cpa_w4_32_sky130hd_highutil_8de86181," ""CORE_UTILIZATION"": 40",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper
multipliers,mult16s_booth4_brentkung_wrapper,sky130hd,ok,9.2357,84451.266025,0.00524,aae620d34e3e,b1b86ede,mult_ppg_cpa_w4_32_sky130_70e18859," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper
multipliers,mult16s_booth4_brentkung_wrapper,sky130hd,ok,9.2803,17178.034225,0.0067,aae620d34e3e,ee6c4432,mult_ppg_cpa_w4_32_sky130hd_highutil_8c56d3b0," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper
multipliers,mult16s_booth4_koggestone_wrapper,asap7,ok,0.650959,285.136996,0.298,f5e751767fc8,a3bdd812,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper
multipliers,mult16s_booth4_koggestone_wrapper,asap7,ok,0.6300665,1479.479296,0.33,f5e751767fc8,b727aa3a,mult_ppg_cpa_w4_32_asap7_3b70c61f," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper
multipliers,mult16s_booth4_koggestone_wrapper,asap7,ok,0.6558746999999999,335.146249,0.289,f5e751767fc8,c7de4936,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper
multipliers,mult16s_booth4_koggestone_wrapper,nangate45,ok,0.2178,19061.944225,0.00333,f5e751767fc8,231d5c19,mult_ppg_cpa_w4_32_nangate45_40523b9d," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper
multipliers,mult16s_booth4_koggestone_wrapper,nangate45,ok,0.1945,3950.1225,0.00321,f5e751767fc8,39ca4667,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper
