design,width,signed,ppg,cpa,status,critical_path_ns,die_area,total_power_mw,result_path
mult16s_booth4_brentkung_wrapper,16,True,booth4,brentkung,ok,0.9829071,1337.950084,0.293,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_brentkung_wrapper/work/b727aa3a/result.json
mult16s_booth4_koggestone_wrapper,16,True,booth4,koggestone,ok,0.6300665,1479.479296,0.33,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_koggestone_wrapper/work/b727aa3a/result.json
mult16s_booth4_ripple_wrapper,16,True,booth4,ripple,ok,1.1225488000000001,1326.125056,0.273,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_ripple_wrapper/work/b727aa3a/result.json
mult16s_booth4_sklansky_wrapper,16,True,booth4,sklansky,ok,0.6514865,1418.124964,0.28,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_sklansky_wrapper/work/b727aa3a/result.json
mult16s_normal_brentkung_wrapper,16,True,normal,brentkung,ok,1.0067056,1221.852025,0.248,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_brentkung_wrapper/work/b727aa3a/result.json
mult16s_normal_koggestone_wrapper,16,True,normal,koggestone,ok,0.6441545,1377.1521,0.296,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_koggestone_wrapper/work/b727aa3a/result.json
mult16s_normal_ripple_wrapper,16,True,normal,ripple,ok,1.1305228,1281.353616,0.246,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_ripple_wrapper/work/b727aa3a/result.json
mult16s_normal_sklansky_wrapper,16,True,normal,sklansky,ok,0.6564637,1286.298225,0.292,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_sklansky_wrapper/work/b727aa3a/result.json
mult16u_booth4_brentkung_wrapper,16,False,booth4,brentkung,ok,1.0891307,1409.627025,0.268,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_brentkung_wrapper/work/b727aa3a/result.json
mult16u_booth4_koggestone_wrapper,16,False,booth4,koggestone,ok,0.6690048000000001,1517.492025,0.287,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_koggestone_wrapper/work/b727aa3a/result.json
mult16u_booth4_ripple_wrapper,16,False,booth4,ripple,ok,1.2412518,1280.279961,0.284,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_ripple_wrapper/work/b727aa3a/result.json
mult16u_booth4_sklansky_wrapper,16,False,booth4,sklansky,ok,0.6289108999999999,1482.712036,0.313,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_sklansky_wrapper/work/b727aa3a/result.json
mult16u_normal_brentkung_wrapper,16,False,normal,brentkung,ok,1.0218644000000001,1222.621156,0.261,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_brentkung_wrapper/work/b727aa3a/result.json
mult16u_normal_koggestone_wrapper,16,False,normal,koggestone,ok,0.6715575,1340.731456,0.273,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_koggestone_wrapper/work/b727aa3a/result.json
mult16u_normal_ripple_wrapper,16,False,normal,ripple,ok,1.1532384999999998,1222.9009,0.268,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_ripple_wrapper/work/b727aa3a/result.json
mult16u_normal_sklansky_wrapper,16,False,normal,sklansky,ok,0.6635946,1280.423089,0.284,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_sklansky_wrapper/work/b727aa3a/result.json
mult32s_booth4_brentkung_wrapper,32,True,booth4,brentkung,ok,1.7230856,4491.814441,0.835,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_brentkung_wrapper/work/b727aa3a/result.json
mult32s_booth4_koggestone_wrapper,32,True,booth4,koggestone,ok,0.8615157,4808.590336,0.875,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_koggestone_wrapper/work/b727aa3a/result.json
