design,platform,core_util,place_density,clock_period,critical_path_ns,die_area,total_power_mw,result_path,tag
mult16s_booth4_brentkung_wrapper,asap7,60.0,0.68,1.0,0.9891209,259.725456,0.258,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_koggestone_wrapper,asap7,60.0,0.68,1.0,0.650959,285.136996,0.298,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_ripple_wrapper,asap7,60.0,0.68,1.0,1.1158534999999998,257.6025,0.257,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_sklansky_wrapper,asap7,60.0,0.68,1.0,0.6595488,274.134249,0.258,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_brentkung_wrapper,asap7,60.0,0.68,1.0,1.0064623,238.826116,0.256,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_koggestone_wrapper,asap7,60.0,0.68,1.0,0.6474225,266.766889,0.274,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_ripple_wrapper,asap7,60.0,0.68,1.0,1.1383044,249.545209,0.216,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_sklansky_wrapper,asap7,60.0,0.68,1.0,0.6573555,250.430625,0.253,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_brentkung_wrapper,asap7,60.0,0.68,1.0,1.109641,272.613121,0.248,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_koggestone_wrapper,asap7,60.0,0.68,1.0,0.6681312,291.965569,0.307,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_ripple_wrapper,asap7,60.0,0.68,1.0,1.2390787,249.355681,0.252,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_sklansky_wrapper,asap7,60.0,0.68,1.0,0.6347267000000001,285.711409,0.293,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_normal_brentkung_wrapper,asap7,60.0,0.68,1.0,1.0214325,238.949764,0.243,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
