design,platform,critical_path_ns,core_util,place_density,clock_period,die_area,total_power_mw,result_path,tag
mult16s_booth4_brentkung_wrapper,asap7,0.9799915,50.0,0.68,1.0,304.991296,0.267,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_booth4_koggestone_wrapper,asap7,0.6300665,10.0,0.55,1.0,1479.479296,0.33,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult16s_booth4_ripple_wrapper,asap7,1.1158534999999998,60.0,0.68,1.0,257.6025,0.257,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_sklansky_wrapper,asap7,0.6514865,10.0,0.55,1.0,1418.124964,0.28,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_sklansky_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult16s_normal_brentkung_wrapper,asap7,1.0064623,60.0,0.68,1.0,238.826116,0.256,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_koggestone_wrapper,asap7,0.6441545,10.0,0.55,1.0,1377.1521,0.296,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult16s_normal_ripple_wrapper,asap7,1.1305228,10.0,0.55,1.0,1281.353616,0.246,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_ripple_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult16s_normal_sklansky_wrapper,asap7,0.6521264,50.0,0.68,1.0,293.951025,0.257,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_booth4_brentkung_wrapper,asap7,1.0891307,10.0,0.55,1.0,1409.627025,0.268,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_brentkung_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult16u_booth4_koggestone_wrapper,asap7,0.6604169000000001,50.0,0.68,1.0,343.212676,0.288,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
