design,width,signed,ppg,cpa,status,critical_path_ns,die_area,total_power_mw,result_path
mult16s_booth4_brentkung_wrapper,16,True,booth4,brentkung,ok,9.2357,84451.266025,0.00524,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_brentkung_wrapper/work/b1b86ede/result.json
mult16s_booth4_koggestone_wrapper,16,True,booth4,koggestone,ok,5.8559,91101.3489,0.00672,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_koggestone_wrapper/work/b1b86ede/result.json
mult16s_booth4_ripple_wrapper,16,True,booth4,ripple,ok,10.7942,86465.4025,0.00423,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_ripple_wrapper/work/b1b86ede/result.json
mult16s_booth4_sklansky_wrapper,16,True,booth4,sklansky,ok,5.7943,86718.4704,0.00554,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_sklansky_wrapper/work/b1b86ede/result.json
mult16s_normal_brentkung_wrapper,16,True,normal,brentkung,ok,9.8921,87045.651225,0.00542,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_brentkung_wrapper/work/b1b86ede/result.json
mult16s_normal_koggestone_wrapper,16,True,normal,koggestone,ok,5.9938,92021.2225,0.0074,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_koggestone_wrapper/work/b1b86ede/result.json
mult16s_normal_ripple_wrapper,16,True,normal,ripple,ok,11.4903,85684.9984,0.00446,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_ripple_wrapper/work/b1b86ede/result.json
mult16s_normal_sklansky_wrapper,16,True,normal,sklansky,ok,6.0654,89161.96,0.00607,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_sklansky_wrapper/work/b1b86ede/result.json
mult16u_booth4_brentkung_wrapper,16,False,booth4,brentkung,ok,9.9015,90673.2544,0.0055,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_brentkung_wrapper/work/b1b86ede/result.json
mult16u_booth4_koggestone_wrapper,16,False,booth4,koggestone,ok,5.8979,96705.450625,0.0079,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_koggestone_wrapper/work/b1b86ede/result.json
mult16u_booth4_ripple_wrapper,16,False,booth4,ripple,ok,11.8761,88004.189025,0.00468,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_ripple_wrapper/work/b1b86ede/result.json
mult16u_booth4_sklansky_wrapper,16,False,booth4,sklansky,ok,5.8916,93229.462225,0.0065,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_sklansky_wrapper/work/b1b86ede/result.json
mult16u_normal_brentkung_wrapper,16,False,normal,brentkung,ok,9.9558,86453.6409,0.00533,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_brentkung_wrapper/work/b1b86ede/result.json
mult16u_normal_koggestone_wrapper,16,False,normal,koggestone,ok,6.0492,95709.7969,0.00762,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_koggestone_wrapper/work/b1b86ede/result.json
mult16u_normal_ripple_wrapper,16,False,normal,ripple,ok,11.6634,85772.8369,0.00445,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_ripple_wrapper/work/b1b86ede/result.json
mult16u_normal_sklansky_wrapper,16,False,normal,sklansky,ok,5.9859,90057.009025,0.0064,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_sklansky_wrapper/work/b1b86ede/result.json
mult32s_booth4_brentkung_wrapper,32,True,booth4,brentkung,ok,16.6862,298629.4609,0.0323,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_brentkung_wrapper/work/b1b86ede/result.json
mult32s_booth4_koggestone_wrapper,32,True,booth4,koggestone,ok,7.1178,316862.039025,0.0764,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_koggestone_wrapper/work/b1b86ede/result.json
mult32s_booth4_ripple_wrapper,32,True,booth4,ripple,ok,22.1317,303766.3225,0.0261,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_ripple_wrapper/work/b1b86ede/result.json
mult32s_booth4_sklansky_wrapper,32,True,booth4,sklansky,ok,7.294,304582.5721,0.0548,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_sklansky_wrapper/work/b1b86ede/result.json
mult32s_normal_brentkung_wrapper,32,True,normal,brentkung,ok,17.492,328764.6244,0.0373,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_brentkung_wrapper/work/b1b86ede/result.json
mult32s_normal_koggestone_wrapper,32,True,normal,koggestone,ok,7.4059,342260.1009,0.102,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_koggestone_wrapper/work/b1b86ede/result.json
mult32s_normal_ripple_wrapper,32,True,normal,ripple,ok,23.0726,328214.41,0.0286,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_ripple_wrapper/work/b1b86ede/result.json
mult32s_normal_sklansky_wrapper,32,True,normal,sklansky,ok,7.4387,333182.9284,0.0614,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_sklansky_wrapper/work/b1b86ede/result.json
mult32u_booth4_brentkung_wrapper,32,False,booth4,brentkung,ok,16.7968,308735.8096,0.0351,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_brentkung_wrapper/work/b1b86ede/result.json
mult32u_booth4_koggestone_wrapper,32,False,booth4,koggestone,ok,7.0982,322095.976225,0.0956,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_koggestone_wrapper/work/b1b86ede/result.json
mult32u_booth4_ripple_wrapper,32,False,booth4,ripple,ok,22.1056,313381.638025,0.0278,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_ripple_wrapper/work/b1b86ede/result.json
mult32u_booth4_sklansky_wrapper,32,False,booth4,sklansky,ok,7.3961,315102.5956,0.0604,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_sklansky_wrapper/work/b1b86ede/result.json
mult32u_normal_brentkung_wrapper,32,False,normal,brentkung,ok,17.2655,328437.879025,0.0414,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_brentkung_wrapper/work/b1b86ede/result.json
mult32u_normal_koggestone_wrapper,32,False,normal,koggestone,ok,7.6436,342500.005225,0.0991,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_koggestone_wrapper/work/b1b86ede/result.json
mult32u_normal_ripple_wrapper,32,False,normal,ripple,ok,23.3596,325749.855025,0.0292,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_ripple_wrapper/work/b1b86ede/result.json
mult32u_normal_sklansky_wrapper,32,False,normal,sklansky,ok,7.5903,332329.1904,0.0646,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_sklansky_wrapper/work/b1b86ede/result.json
mult4s_booth4_brentkung_wrapper,4,True,booth4,brentkung,ok,3.8871,9072.5625,0.000384,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_brentkung_wrapper/work/b1b86ede/result.json
mult4s_booth4_koggestone_wrapper,4,True,booth4,koggestone,ok,1.3639,9890.3025,0.000414,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_koggestone_wrapper/work/b1b86ede/result.json
mult4s_booth4_ripple_wrapper,4,True,booth4,ripple,ok,4.0242,8625.765625,0.000375,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_ripple_wrapper/work/b1b86ede/result.json
mult4s_booth4_sklansky_wrapper,4,True,booth4,sklansky,ok,1.3663,9557.995225,0.00039,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_sklansky_wrapper/work/b1b86ede/result.json
