design,platform,total_power_mw,core_util,place_density,clock_period,die_area,critical_path_ns,result_path,tag
yosys_mult16s_booth_wrapper,asap7,0.245,50.0,0.68,1.0,326.994889,0.7975091,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult16s_booth_wrapper/work/152d8512/result.json,yosys_mult_w4_32_asap7_highutil_75828b8c
yosys_mult16s_lowpowerbooth_wrapper,asap7,0.231,60.0,0.68,1.0,269.649241,1.4935691999999998,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult16s_lowpowerbooth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult16u_booth_wrapper,asap7,0.238,50.0,0.68,1.0,302.76,0.6998215,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult16u_booth_wrapper/work/152d8512/result.json,yosys_mult_w4_32_asap7_highutil_75828b8c
yosys_mult32s_booth_wrapper,asap7,0.764,50.0,0.68,1.0,1063.020816,1.000213,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult32s_booth_wrapper/work/152d8512/result.json,yosys_mult_w4_32_asap7_highutil_75828b8c
yosys_mult32s_lowpowerbooth_wrapper,asap7,0.674,50.0,0.68,1.0,1023.744016,2.9898827999999997,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult32s_lowpowerbooth_wrapper/work/152d8512/result.json,yosys_mult_w4_32_asap7_highutil_75828b8c
yosys_mult32u_booth_wrapper,asap7,0.742,60.0,0.68,1.0,831.687921,0.9033472,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult32u_booth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult4s_booth_wrapper,asap7,0.0404,10.0,0.55,1.0,154.828249,0.3709414,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult4s_booth_wrapper/work/ca39127d/result.json,yosys_mult_w4_32_asap7_3b70c61f
yosys_mult4s_lowpowerbooth_wrapper,asap7,0.0453,60.0,0.68,1.0,41.951529,0.37859719999999997,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult4s_lowpowerbooth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult4u_booth_wrapper,asap7,0.0392,10.0,0.55,1.0,138.579984,0.2883163,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult4u_booth_wrapper/work/ca39127d/result.json,yosys_mult_w4_32_asap7_3b70c61f
yosys_mult8s_booth_wrapper,asap7,0.107,10.0,0.55,1.0,472.019076,0.5363024000000001,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult8s_booth_wrapper/work/ca39127d/result.json,yosys_mult_w4_32_asap7_3b70c61f
yosys_mult8s_lowpowerbooth_wrapper,asap7,0.101,60.0,0.68,1.0,97.653924,0.7540592,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult8s_lowpowerbooth_wrapper/work/d1f0e14b/result.json,yosys_mult_w4_32_asap7_highutil_c51f6982
yosys_mult8u_booth_wrapper,asap7,0.0938,50.0,0.68,1.0,105.740089,0.4700369,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult8u_booth_wrapper/work/152d8512/result.json,yosys_mult_w4_32_asap7_highutil_75828b8c
yosys_mult16s_booth_wrapper,nangate45,0.00546,50.0,0.68,2.5,4532.655625,0.1975,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult16s_booth_wrapper/work/c6c6255b/result.json,yosys_mult_w4_32_nangate45_highutil_87b48795
yosys_mult16s_lowpowerbooth_wrapper,nangate45,0.00917,60.0,0.68,2.5,3190.555225,3.225,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult16s_lowpowerbooth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
