family,width,signed,status,critical_path_ns,die_area,total_power_mw,result_path
brentkung,4,unsigned,ok,0.1969742,91.2025,0.0325,runs/prefix_adders/adder_brentkung_4u_wrapper/work/03ccccfe/result.json
brentkung,4,unsigned,ok,0.1996707,109.014481,0.0327,runs/prefix_adders/adder_brentkung_4u_wrapper/work/67898f3f/result.json
brentkung,8,unsigned,ok,0.287802,183.385764,0.061,runs/prefix_adders/adder_brentkung_8u_wrapper/work/67898f3f/result.json
brentkung,8,unsigned,ok,0.29068299999999997,151.856329,0.0636,runs/prefix_adders/adder_brentkung_8u_wrapper/work/03ccccfe/result.json
brentkung,16,unsigned,ok,0.4418263,344.510721,0.133,runs/prefix_adders/adder_brentkung_16u_wrapper/work/67898f3f/result.json
brentkung,16,unsigned,ok,0.4430847,282.676969,0.123,runs/prefix_adders/adder_brentkung_16u_wrapper/work/03ccccfe/result.json
brentkung,32,unsigned,ok,0.7046971,656.538129,0.304,runs/prefix_adders/adder_brentkung_32u_wrapper/work/67898f3f/result.json
brentkung,32,unsigned,ok,0.7251443000000001,534.950641,0.257,runs/prefix_adders/adder_brentkung_32u_wrapper/work/03ccccfe/result.json
brentkung,64,unsigned,ok,1.278871,1029.447225,0.668,runs/prefix_adders/adder_brentkung_64u_wrapper/work/03ccccfe/result.json
brentkung,64,unsigned,ok,1.2823647,1269.924496,0.66,runs/prefix_adders/adder_brentkung_64u_wrapper/work/67898f3f/result.json
koggestone,4,unsigned,ok,0.1601046,94.148209,0.0338,runs/prefix_adders/adder_koggestone_4u_wrapper/work/03ccccfe/result.json
koggestone,4,unsigned,ok,0.1627256,112.614544,0.034,runs/prefix_adders/adder_koggestone_4u_wrapper/work/67898f3f/result.json
koggestone,8,unsigned,ok,0.2199753,181.037025,0.0653,runs/prefix_adders/adder_koggestone_8u_wrapper/work/03ccccfe/result.json
koggestone,8,unsigned,ok,0.22030000000000002,219.247249,0.0652,runs/prefix_adders/adder_koggestone_8u_wrapper/work/67898f3f/result.json
koggestone,16,unsigned,ok,0.2604288,422.466916,0.133,runs/prefix_adders/adder_koggestone_16u_wrapper/work/67898f3f/result.json
koggestone,16,unsigned,ok,0.2717734,345.774025,0.157,runs/prefix_adders/adder_koggestone_16u_wrapper/work/03ccccfe/result.json
koggestone,32,unsigned,ok,0.32425709999999996,850.538896,0.306,runs/prefix_adders/adder_koggestone_32u_wrapper/work/67898f3f/result.json
koggestone,32,unsigned,ok,0.3262502,691.479616,0.308,runs/prefix_adders/adder_koggestone_32u_wrapper/work/03ccccfe/result.json
koggestone,64,unsigned,ok,0.39570370000000005,1340.731456,0.703,runs/prefix_adders/adder_koggestone_64u_wrapper/work/03ccccfe/result.json
koggestone,64,unsigned,ok,0.40075740000000004,1656.652804,0.683,runs/prefix_adders/adder_koggestone_64u_wrapper/work/67898f3f/result.json
ripple,4,unsigned,ok,0.1996707,109.014481,0.0327,runs/prefix_adders/adder_ripple_4u_wrapper/work/67898f3f/result.json
ripple,8,unsigned,ok,0.3437888,195.328576,0.06,runs/prefix_adders/adder_ripple_8u_wrapper/work/67898f3f/result.json
ripple,16,unsigned,ok,0.6299438,294.877584,0.125,runs/prefix_adders/adder_ripple_16u_wrapper/work/03ccccfe/result.json
ripple,16,unsigned,ok,0.630764,359.595369,0.132,runs/prefix_adders/adder_ripple_16u_wrapper/work/67898f3f/result.json
ripple,32,unsigned,ok,1.1993442,676.468081,0.27,runs/prefix_adders/adder_ripple_32u_wrapper/work/67898f3f/result.json
ripple,64,unsigned,ok,2.3107124,1293.625089,0.669,runs/prefix_adders/adder_ripple_64u_wrapper/work/67898f3f/result.json
sklansky,4,unsigned,ok,0.1749153,108.7849,0.0335,runs/prefix_adders/adder_sklansky_4u_wrapper/work/67898f3f/result.json
sklansky,8,unsigned,ok,0.22772040000000002,201.270969,0.078,runs/prefix_adders/adder_sklansky_8u_wrapper/work/67898f3f/result.json
sklansky,16,unsigned,ok,0.2870211,372.644416,0.128,runs/prefix_adders/adder_sklansky_16u_wrapper/work/67898f3f/result.json
sklansky,32,unsigned,ok,0.3097292,770.007001,0.292,runs/prefix_adders/adder_sklansky_32u_wrapper/work/67898f3f/result.json
sklansky,64,unsigned,ok,0.3938874,1474.867216,0.691,runs/prefix_adders/adder_sklansky_64u_wrapper/work/67898f3f/result.json
